Issue ID,Type,Priority,Title,Story,Acceptance Criteria,Epic,Estimated Points,Dependencies,Labels
RECON-039,Tech Story,Low,Setup Security Scanning,"As a developer, I need security scanning so that vulnerabilities are detected early.","- gosec integration in CI
- Dependency scanning (govulncheck)
- Run on every PR
- Fail build on high severity issues
- Regular scheduled scans
- Results uploaded to GitHub Security tab
- Documentation for local scanning",Security,3,RECON-030,security;scanning
RECON-040,Tech Story,Low,Create Release Documentation,"As a developer, I need release documentation so that users know what's new and what's changed.","- CHANGELOG.md following Keep a Changelog format
- Release notes template
- Migration guides for breaking changes
- Document release process in CONTRIBUTING.md
- Automated changelog generation from commits (optional)
- Version comparison links",Documentation,2,RECON-034,documentation;release
RECON-041,User Story,Low,Add Quiet and Verbose Modes,"As a user, I want --quiet and --verbose flags so that I can control output verbosity.","- --quiet flag suppresses all non-essential output
- --verbose flag shows detailed operation info
- -q short flag for quiet
- -v short flag for verbose
- Respects --output json (no mixed output)
- Works across all commands
- Documented in root command help",CLI Enhancement,2,RECON-003,cli;enhancement
RECON-042,User Story,Low,Implement Timeout Configuration,"As a user, I want to configure request timeouts so that I can handle slow networks.","- --timeout flag on commands making API calls
- Global timeout in config file
- Default timeout: 30 seconds
- Separate timeout for gRPC streams
- Clear error message on timeout
- Retry on timeout (configurable)
- Documentation of timeout behavior",Configuration,2,RECON-002;RECON-007,configuration;networking
RECON-043,Tech Story,Medium,Add Request/Response Debugging,"As a developer, I need request/response debugging so that I can troubleshoot API issues.","- Debug mode logs all HTTP requests
- Logs request method, URL, headers (sanitized)
- Logs response status, headers, body
- Enabled with --debug flag or log-level=debug
- gRPC debugging support
- Sanitize sensitive data (API keys)
- Pretty-printed JSON in logs",Debugging,3,RECON-007;RECON-028,debugging;logging
RECON-044,Tech Story,Low,Implement Pagination Support,"As a developer, I need pagination support so that large result sets can be handled efficiently.","- --limit flag for page size
- --offset flag for page offset
- --page and --per-page flags (alternative)
- Total count displayed when available
- Next/previous page hints
- Works for: program list, scan list, anomalies list
- Unit tests for pagination logic",API Enhancement,3,RECON-010;RECON-014;RECON-016,api;pagination
RECON-045,User Story,Low,Add Color Output Control,"As a user, I want to control color output so that I can use the CLI in different environments.","- Auto-detect TTY for color support
- --color flag: auto, always, never
- --no-color flag (same as --color=never)
- Respect NO_COLOR environment variable
- Color config in config file
- All colored output respects this setting
- Works in pipes (no color by default)",CLI Enhancement,2,RECON-019,cli;ui;enhancement
RECON-046,Tech Story,Medium,Implement Health Check Command,"As a developer, I need a health check command so that users can verify connectivity and configuration.","- 'recon-cli health' command
- Checks REST API connectivity (GET /health)
- Checks gRPC connectivity
- Validates API key
- Shows server version (if available)
- Shows configuration summary
- Detailed output with --verbose
- Exit code 0 if healthy, 1 if unhealthy
- Useful for CI/CD and monitoring",Diagnostics,3,RECON-003;RECON-007;RECON-022,diagnostics;health
RECON-047,User Story,Low,Program Command - Update Program,"As a user, I want to run 'recon-cli program update --id <id>' so that I can modify program settings.","- Sends PATCH/PUT request to /api/v1/programs/:id
- Flags: --name, --scope, --frequency, --active
- Only updates provided fields
- Confirmation of changes
- Shows updated program details
- Validation of inputs
- Interactive mode support",Program Management,3,RECON-003;RECON-007;RECON-008,program;user-facing
RECON-048,Tech Story,Low,Add User Agent String,"As a developer, I need a proper User-Agent header so that server administrators can identify CLI traffic.","- User-Agent: recontronic-cli/v1.0.0 (platform; go/version)
- Include version from build info
- Include platform (darwin, linux, windows)
- Include Go version
- Added to all HTTP requests
- Configurable suffix in config (optional)
- Documented",API Client,1,RECON-007;RECON-034,api;client
RECON-049,Tech Story,Medium,Implement Connection Pooling and Keep-Alive,"As a developer, I need connection pooling so that API performance is optimized.","- HTTP client uses connection pooling
- Keep-alive enabled
- Configurable max connections per host
- Configurable idle connection timeout
- Connection reuse for gRPC
- Performance improvement measurable
- Unit tests verify behavior",Performance,3,RECON-007,performance;networking
RECON-050,User Story,Low,Add Export Functionality,"As a user, I want to export data to files so that I can process results offline.","- 'recon-cli program list --export programs.json' saves to file
- 'recon-cli anomalies list --export anomalies.csv' supports CSV
- Export formats: JSON, YAML, CSV
- Works with all list commands
- File overwrite confirmation
- --force flag to skip confirmation
- Success message with file path",Data Export,3,RECON-016;RECON-010;RECON-014,export;enhancementRECON-051,User Story,Critical,Auth Command - User Registration,"As a user, I want to run 'recon-cli auth register' so that I can create an account on the Recontronic server.","- Interactive mode prompts for username, email, password
- Password input is hidden (no echo to terminal)
- Username validation: 3-50 alphanumeric characters
- Email validation: valid email format
- Password validation: 8-72 characters minimum
- Sends POST request to /api/v1/auth/register
- Displays success message with username
- Clear error messages for validation failures
- Handles server errors gracefully (409 if username/email exists)
- Example in help text",Authentication,5,RECON-003;RECON-007,auth;user-facing;critical
RECON-052,User Story,Critical,Auth Command - User Login,"As a user, I want to run 'recon-cli auth login' so that I can authenticate and receive an API key.","- Interactive mode prompts for username and password
- Password input is hidden (no echo to terminal)
- Sends POST request to /api/v1/auth/login
- Receives API key in response (format: rct_...)
- Automatically saves API key to ~/.recon-cli/config.yaml
- Sets config file permissions to 0600 (owner read/write only)
- Displays success message with reminder to keep key secure
- Shows warning that key won't be shown again
- Clear error messages for invalid credentials (401)
- Option to save to custom location with --config flag",Authentication,5,RECON-003;RECON-007;RECON-002,auth;user-facing;critical
RECON-053,User Story,High,Auth Command - Who Am I,"As a user, I want to run 'recon-cli auth whoami' so that I can verify my current authentication status.","- Sends GET request to /api/v1/auth/me with API key
- Displays user information (username, email, account status)
- Shows API key prefix being used
- Formatted output (table/json/yaml)
- Clear error if not authenticated (401)
- Suggests 'recon-cli auth login' if not authenticated
- Shows when account was created
- Exit code 0 if authenticated, 1 if not",Authentication,2,RECON-003;RECON-007;RECON-052,auth;user-facing
RECON-054,User Story,Medium,Auth Command - Create API Key,"As a user, I want to run 'recon-cli auth keys create' so that I can generate additional API keys for different environments.","- Prompts for key name (optional, defaults to timestamp)
- Optional --expires-in flag (e.g., 90d, 6m, 1y)
- Sends POST request to /api/v1/auth/keys
- Displays new API key (shown only once!)
- Warning message that key won't be shown again
- Saves to config with --save flag
- Option to copy to clipboard (if available)
- JSON output includes key_id for reference
- Example in help text",Authentication,3,RECON-003;RECON-007;RECON-052,auth;user-facing
RECON-055,User Story,Medium,Auth Command - List API Keys,"As a user, I want to run 'recon-cli auth keys list' so that I can view all my API keys and their status.","- Sends GET request to /api/v1/auth/keys
- Table shows: ID, Name, Key Prefix, Expires At, Last Used, Status
- Color coding for status (green=active, red=revoked, yellow=expired)
- Relative timestamps for Last Used (2 hours ago) with --relative flag
- Sort by --sort-by (id, name, created, last-used)
- Filter by --active-only flag
- Shows total count
- Indicates which key is currently in use (matches config)
- JSON/YAML output supported",Authentication,3,RECON-003;RECON-007;RECON-052,auth;user-facing
RECON-056,User Story,Medium,Auth Command - Revoke API Key,"As a user, I want to run 'recon-cli auth keys revoke' so that I can deactivate compromised or unused keys.","- Requires --id flag or --name flag
- Confirmation prompt: 'Are you sure?' (skip with --yes flag)
- Displays key name/prefix in confirmation
- Sends DELETE request to /api/v1/auth/keys/{id}
- Success message on revocation
- Warning if revoking currently active key
- Suggests generating new key if revoking active key
- Error handling for not found (404)
- Dry run mode with --dry-run",Authentication,2,RECON-003;RECON-007;RECON-052,auth;user-facing
RECON-057,User Story,Low,Auth Command - Logout,"As a user, I want to run 'recon-cli auth logout' so that I can remove my API key from the local config.","- Removes api_key from ~/.recon-cli/config.yaml
- Optional --revoke flag to also revoke key on server
- Confirmation prompt if --revoke is used
- Shows which key is being removed (prefix)
- Success message confirming logout
- Config file remains (only api_key removed)
- Suggests 'auth login' to re-authenticate
- Works even if config file doesn't exist (no error)",Authentication,2,RECON-003;RECON-002,auth;user-facing
RECON-058,Tech Story,High,Implement Secure Password Input,"As a developer, I need secure password input so that passwords are not visible on the terminal.","- Use terminal package for hidden input (golang.org/x/term)
- No echo to terminal during password entry
- Works on all platforms (Windows, macOS, Linux)
- Handles Ctrl+C gracefully
- Shows 'Password: ' prompt
- Confirm password option for registration
- Password mismatch detection (if confirmation)
- Unit tests for password validation
- Integration tests for interactive input",Authentication,3,RECON-051;RECON-052,auth;security
RECON-059,Tech Story,High,Implement API Key Storage with Secure Permissions,"As a developer, I need to store API keys securely so that they can't be accessed by other users on the system.","- Config file created at ~/.recon-cli/config.yaml
- File permissions set to 0600 (chmod 600)
- Directory permissions set to 0700 (chmod 700)
- Ownership verification (file owned by current user)
- Warning if permissions are too open
- Auto-fix permissions on read if they're wrong
- Works on all platforms (Windows uses different approach)
- Unit tests for permission setting/checking",Configuration,3,RECON-002;RECON-052,config;security
RECON-060,Tech Story,Medium,Implement Authentication Middleware for REST Client,"As a developer, I need authentication middleware so that API requests automatically include the API key.","- Middleware adds Authorization header to all requests
- Format: 'Bearer {api_key}'
- Only adds if api_key is configured
- Skips for public endpoints (register, login)
- Logs sanitized headers in debug mode (hides key value)
- Tests for middleware behavior
- Error handling if key is missing for protected endpoint
- Clear error message suggesting 'auth login'",API Client,3,RECON-007;RECON-052,api;auth
RECON-061,Tech Story,Low,Implement API Key Validation,"As a developer, I need API key validation so that users get immediate feedback on invalid keys.","- Validate key format (starts with 'rct_')
- Check minimum length (at least 20 characters)
- Base64 decoding validation
- Validation on config set
- Validation on config load
- Clear error messages for invalid format
- Suggests re-running 'auth login' if invalid
- Unit tests for validation logic",Validation,2,RECON-002;RECON-052,validation;auth
RECON-062,User Story,Low,Auth Command - Rotate API Key,"As a user, I want to run 'recon-cli auth keys rotate' so that I can easily replace my current key with a new one.","- Creates new API key with same name + ' (Rotated)'
- Automatically updates config with new key
- Revokes old key after successful update
- Atomic operation (rollback if new key creation fails)
- Confirmation prompt before rotating
- Shows old and new key prefixes
- Success message with new key info
- Option to keep old key with --keep-old flag
- Example in help text",Authentication,3,RECON-003;RECON-007;RECON-052;RECON-054;RECON-056,auth;user-facing
